215,What sound is in the middle of “moon” and “broom”?,U,E,A,I
219,What sounds come at the end of “early” and “fairly”?,LY,OW,AN,UT
223,What sounds come at the end of “moon” and “soon”?,OON,EEL,ADD,ISH
228,What sounds come at the end of “cow” and “now”?,OW,IT,ER,UL
232,What sound comes at the beginning of “Lucy” and “locket” and “lost”?,L,G,J,F
233,What sound comes in the middle of “knife” and “wife”?,I,O,U,A
236,What does little Tom Tucker do for his supper?,Sing,Yawn,Jump,Climb
239,What sound comes in the middle of “bed” and “head”?,sound-E-short,O,I,U
241,The words “off” and “stocking” both have what sound?,sound-O-short,P,R,B
244,What sound comes at the beginning of “diddle” and “dumpling”?,D,K,S,R
248,What sounds come at the end of "diddle" and "fiddle"?,DL,FR,NG,ST
252,What sounds come at the end of “mother” and “over” and “together”?,ER,OW,UL,AK
256,What sound comes in the middle of “bag” and “nag”,sound-A-short,E,O,U
260,What sound comes at the beginning of “smith” and “set”?,S,N,P,G
264,What sound comes at the end of “flour” and “hour”?,OUR,ING,EER,ELD
268,What sound comes at the end of “myself” and “shelf”?,ELF,DUL,ING,SON
276,What sound comes at the beginning of “Robin” and “Redbreast”?,R,S,J,V
279,What sound comes at the beginning of  “dearest” and “dress”  and “decide” ?,D,L,F,H
281,What sound comes in the middle of “blush” and “thus” and “love”?,U,O,I,E
286,What sound comes at the end of “play” and “day”?,A,I,O,U
287,What sound comes at the beginning of “Sunday” and “Saturday”?,S,Q,X,M
288,What sound comes right before “day” in the words “Tuesday” and Wednesday” and “Thursday?”,Z,P,O,F
292,What sounds come in the middle of “Humpty” and “Dumpty”?,UMP,ELF,OUR,ING
294,What sounds come at the end of “hall” and “wall”?,AL,OW,ER,OT
297,What sounds come at the end of “pig” and “wig”?,IG,ER,OW,ET
300,What sound comes at the beginning of “went” and “without” and “word”?,W,B,L,Z
304,What sounds come at the end of “thumb” and “plum”?,UM,OT,GR,AK
308,What sound is in the middle of “cat” and “bag”?,A,I,O,U
310,What sound is at the end of “day” and “away”?,A,I,O,U
316,What sounds are at the end of “sore” and “more”?,OR,ET,IL,ST
320,What sound is at the beginning of “goosey” and “gander”?,G,L,M,V
321,The words “see” and “saw” begin with what sound?,S,Q,D,V
324,What sound is at the end of “saw” and “Daw”?,AW,OR,ER,NG
328,What sound is at the beginning of “daffy” and “down” and “dilly”?,D,V,Z,P
332,What sound comes at the end of “down” and “town” ?,OU,CH,SK,RM
336,What sound is at the very end of “lion” and “unicorn” and “crown”?,N,E,V,G
337,What sound is at the beginning of “King” and “Cole” and “called”?,K,M,H,P
341,What sound comes at the end of “grow” and “row”?,O,A,E,I
345,What sounds come at the end of “seam” and “cream”?,EM,IG,UR,AL
349,The boy loves sugar what?,Candy,Bread,Water,Ice
351,What sounds come at the beginning of “plum” and “pleased”?,PL,AW,OR,SK
352, The words “handy” and “he” and “has” all begin with what sound?,H,Z,F,N
356,What sound comes at the beginning of “the” and “that”?,TH,ER,NG,BR
357,The rhyme is about what kind of little animals?,Pigs,Mice,Birds,Spiders
359,The words “went” and “want” and “wee” all begin with what sound?,W,K,sound-C-soft,V
360,What sound is in the middle of “this” and “little” and “pig”?,sound-I-short,O,U,A
363,What sound is at the beginning of “away” and “again”?,A,O,U,P
364,What sound is at the beginning and middle of “blackbird”?,B,O,Z,M
367,What sound comes at the end of “patch” and “hatch”?,CH,FR,PL,TH
368,What sound is at the beginning of “patch” and “pull” and end of “up” and “cup”?,P,H,F,G
372,What sound is in the middle of “Hubbard” and “cupboard”?,B,L,S,K
376,What sound is at the end of “pease” and “days” and “letters”?,Z,M,V,W
377,What sound is at the beginning of “take” and the middle of “kettle” and at the end of “it”??,T,J,W,F
378,What sound is at the beginning of “Polly” and “put”?,P,L,M,G
380,What sound is at the beginning of “kettle” and middle of “Sukey” and end of “take”?,K,N,D,P
384,What sounds are in the end of “saddle” and “cradle” and “ladle”?,DL,CH,UM,NG
387,What sound is at the beginning of “grid iron” and in the middle of “agree?,G,M,O,F
392,What sound is in the middle of “sat” and “ran”?,A,U,O,P
396,What sound is at the end of “say” and “away”?,A,E,U,O
398,What sound is at the beginning of “bumpety” and “bump” and “blackbird?”,B,L,H,T
404,What sounds are at the end of “dust” and beginning of “street”?,ST,UM,NG,FL
405,What sounds are at the beginning of “shall” and “shear”?,SH,AN,EM,PL
412,What sound is at the beginning of “out” and in the middle of “about”?,OU,ER,NG,PL
413,What sound is at the beginning of “them” and “the”?,TH,PL,AW,ER
414,What sound is at the beginning of “eat” and in the middle of “lean” and “clean” and “between”?,E,O,U,I
415,What sound is at the beginning of “would” and “wife” and in the middle of “between”?,W,X,L,M
416,What sound is at the end of “eat” and “fat” and in the middle of “between”?,T,S,V,K
420,What sound is in the middle of “diet” and “quiet”?,I,A,O,U
421,What sound is at the end of “say” and “day” and “pray”?,A,I,O,U
424,What sound somes at the end of “news” and “please” and “has”?,S,V,F,J
428,What sound is at the beginning of “there” and “they”?,TH,PL,IG,UM
432,What sound is at the beginning of “had” and “he” and “her”?,H,S,P,T
433,What sound is at the beginning of “wilderness” and “wood”?,W,F,J,T
438,What sound is in the middle of “bark” and “hark” and the beginning of “rags” ?,R,L,N,J
439,What sound is in the middle of “gown” and “town” ?,OW,RM,BL,IG
440,What sound is in the middle of “beggars” and the beginning of “gown”?,G,F,D,L
444,What sound is at the beginning of “cat” and “kit”?,K,L,M,R
448,What sound is at the beginning of “husband” and “handkerchief” and “hose”?,H,P,J,L
452,What sound is at the beginning of “cat” and “cupboard”?,K,N,F,M
456,What sound is at the end of “bake” and “cake” and in the middle of “mistaken”?,AK,TH,PL,UM
458,What sound comes at the end of “as” and “was” and “Primrose”?,Z,G,N,B
459,What sounds come at the beginning of “primrose” and “pretty” ?,PR,CL,UT,WH
460,The words “going” and “girl” both begin with what sound?,G,C,F,Z
464,What sound is in the middle of “down” and “about”?,OU,TH,GR,ST
468,What sound is at the beginning of “when” and “what”?,WH,NG,AK,DL
471,What sound is at the beginning of “think” and “thrive”?,TH,OT,UN,IL
472,What sound is at the beginning of “I’ll” and “I’ve” and in the middle of “five” ?,I,O,U,A
475,What sound is in the middle of “five” and “alive”?,I,O,U,G
476,What sound is at the beginning of “four” and “five” ?,F,C,Z,J
480,What sound is at the beginning of “wind” and “we” and warm”?,W,J,P,H
481,What sound is at the beginning of “shillings” and “shoes” and “Shoreditch”?,SH,NG,PL,OU
482,What sound is at the end of “say” and “pay” ?,A,O,U,I
483,What sound comes at the end of “me” and “be” and in the middle and end of “sleepy”?,E,A,O,U
484,What sound comes at the beginning of “old” and the end of “Bow” and “know” ?,O,A,E,I
489,What sound comes at the end of “both” and “with”?,TH,PL,AW,OR
